Flugzeug - das Flugzeug		AVION		dentro del avion la gente estornudando FLU otros riendo GGGG y el mismismo ZEUs
Flug - der Flug		Vuelo		Un tipo con alas estornuda y empieza a volar
Schiff - das Schiff		Barco		claudia Schiffer vestida de capitana de barco en la proa de un barco como el titanic. Se convierte en una muñeca hinchable. Hence DAS.
Zug - der Zug		Tren		un trenecito con un pitidito muy chulo
U-Bahn - die U-Bahn		Metro		un metro de medir y un tren que lo arrolla
Straßenbahn - die Straßenbahn		Tranvía		un tranvia se cortocircuita y la calle se electrocuta. Close, BANNED le ponen an el tranvia
Waggon - der Waggon		Vagón		un vagon se descarrila y 
Bus - der Bus		Autobús		Un autobus tuerce y los la mitad delantera continua
Taxi - das Taxi		Taxi		llamando a un taxi
				
Auto - das Auto		COCHE		En el coche intentand meter la primera y el instructor le da un colleja, que es AUTOmatico man
Garage - die Garage		Garaje		El coche entra en el garage y desaparece
Motorrad - das Motorrad		Moto		Una moto hace un derrape y un RADio se escapa y se clava en el craneo de uno
Fahrrad - das Fahrrad		Bicicleta		Un corredor del Tour se para y se pone FAHRiña en el RADio, menudo pulso piensan los correcdores que le pasan
Autobahn - die Autobahn		Autopista		En una autopista de 6 carriles aparece un coche gigante con una pegatina de prohibido, para toda la circulacion
Straße - die Straße		Carretera		Un carretera de doble direccion bloqueada por un concierto de musica de StraB
Weg - der Weg		Camino		En un caminillo fulero uno pisa un Wig y piensa que es un truño, ah no? lo coge y se lo pone en la cabeza
Tankstelle - die Tankstelle		Gasolinera		entra de noche  en la gasolinera y ve un tanke con estrellitas de fondo
