das Krankenhaus		HOSPITAL		Puerta de Hierro y se congela y hace añicos
der Krankenwagen		Ambulancia		Ambulancia de los clicks se congela y hace añicos
die Apotheke		Farmacia		Cruz de farmacia se congela y estalla
die Tablette		Pastilla		se come unas pastillas y le salen unos abdominales de flipar (la tableta)
das Beruhigungsmittel		Calmante		le dan un calmante en la pierna y le dice Estate relajadidto, BE RUHI este saca un GUN y le dispare en le mitte de los huevos
das Antibiotikum		Antibiótico		un pastilla rompiendo un ADN (ANTI BIOS) zoom out y la persona a la que le pasa se quema y desintegra
die Verletzung		Herida		SE hace una herida en la espalda y le pide a su colela , VER su herida, pero se tapa por que le duele y su colega le dice LET me. y Como no le amenaza con un florin Z (zorr)
das Pflaster		Tirita		Mira la tirita y es la ultima. Se tira un pedo PF y dice es la LAST 
das Heftpflaster		Esparadrapo		Un tio con una herida con un esparadrapo lleno de sangre minima pindiendo HELP y pasa uno y le quita el esparadrapo y le pone una tirita que pesa (hefty) que flipas
die Baumwolle		Algodón		Un negro recogiendo algodon, coje la flor (BAUM) y la convierte en una  LANA (wool)
die Mullbinde		Gasa		con una gasa en el ojo, y se la quita se la pone a su MUL(a) y quedan BIND, la mula le sigue
die Injektion		Inyección		Una inyeccion en el culo, le quema y desparece
die Erkältung		Constipado		Empieza a estornudar, la cara como un mapa, le toman la temperatura y dicen a  ER (que esta fria!! KALT
die Grippe		Gripe		Un enfermo cogido (GRIP) por un virus (la vida es asi) , hasta que el tio arde y desaparece
der Schmerz		Dolor		Uno con dolor de cabeza, cogiendosela mientras pasea por la playa y le dice a las olas, SHHHH, MER
das Fieber		Fiebre		Un con fiebre, sudando en la cama. Arde y desparece
die Allergie		Alergia		Le enseña un sarpullido en la espalda y el medio lo toca, arde y desparece
